UID          PID    PPID  C STIME TTY          TIME CMD
lawlessl    1909    1473  0 16:54 ?        00:00:00 /usr/libexec/gsd-xsettings
lawlessl    1967    1473  0 16:54 ?        00:00:00 /usr/bin/spice-vdagent
lawlessl    2002    1473  0 16:54 ?        00:00:00 /usr/libexec/gsd-printer
lawlessl    2003    1758  0 16:54 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
lawlessl    2006    1800  0 16:54 ?        00:00:00 /usr/libexec/ibus-engine-simple
lawlessl    2027    1758  0 16:54 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
lawlessl    2159    1473  0 16:54 ?        00:00:00 /usr/libexec/gvfsd-metadata
lawlessl    2296    1473  0 16:54 ?        00:00:00 /usr/bin/gnome-calendar --gapplication-service
lawlessl    2299    1473  0 16:54 ?        00:00:00 /usr/bin/seahorse --gapplication-service
lawlessl    2434    1758  0 16:55 ?        00:00:00 update-notifier
lawlessl    2625    1473  0 16:57 ?        00:00:05 /usr/libexec/gnome-terminal-server
lawlessl    2633    2625  0 16:57 pts/0    00:00:00 bash
root        2953       2  0 16:59 ?        00:00:00 [kworker/3:0-events]
root        2972       2  0 17:00 ?        00:00:00 [kworker/1:1-events]
root        3268       2  0 17:02 ?        00:00:00 [kworker/u8:2-events_unbound]
root        3342       2  0 17:09 ?        00:00:00 [kworker/0:0-events]
root        3351       2  0 17:09 ?        00:00:00 [kworker/2:0-events]
root        3366       2  0 17:10 ?        00:00:00 [kworker/u8:1-events_power_efficient]
root        3415       2  0 17:13 ?        00:00:00 [kworker/3:2-memcg_kmem_cache]
root        3522       2  0 17:20 ?        00:00:00 [kworker/2:2-events]
root        3523       2  0 17:20 ?        00:00:00 [kworker/0:1-cgroup_destroy]
root        3540       2  0 17:20 ?        00:00:00 [kworker/0:2-events]
root        3541       2  0 17:20 ?        00:00:00 [kworker/2:3-cgroup_destroy]
lawlessl    3795    1473  1 17:22 ?        00:00:00 /usr/bin/nautilus --gapplication-service
root        3808       2  0 17:22 ?        00:00:00 [kworker/3:1]
lawlessl    4103    2633  0 17:23 pts/0    00:00:00 ps -ef
